,Unnamed: 0,seismic_no,seismic_time,seismic_lat,seismic_lon,seismic_Dep,Mpf,well_name,well_uwi,well_date,well_lat,well_lon,well_Dep,dist,dt,dDep,Lateraldist,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,label
17101,17101,5827,2017-06-24 20:35:00,54.425,-117.434,3.22,2.66,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-02 00:00:00,54.428243,-117.412948,3.5123599999999997,1.4391791413326982,7.142361111111112,0.29235999999999995,1.4091707601448171,0.0014868051878617768,0.0012008791866524472,0.3115292191409931,0.2950097982383413,0.27970472776918587,0.2744333292184394,0.009995347014001437,0.011455149170081957,0.176213675540952,0.3665518662127857,0.23786585693609918,2.1959732991031394e-05,0.03687548439398986,0.028586993359381155,0.025870590742632156,0.023244420548432707,1
17102,17102,5830,2017-06-25 22:56:00,54.423,-117.424,3.4,3.28,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-02 00:00:00,54.428243,-117.412948,3.5123599999999997,0.9296131347087948,6.044444444444443,0.11236000000000024,0.9227978167632996,0.02849904451418383,0.03154884289161662,0.2614833740406384,0.2565332963206831,0.2504988289265875,0.24818651969285638,0.16213139235420107,0.18722882476910419,0.07960601172365077,0.4867426875966408,0.04371814665042973,0.004886207626695056,0.6769351994183709,0.5633814061828258,0.544491010322665,0.5167275192321592,1
17103,17103,5832,2017-06-28 04:19:00,54.423,-117.425,3.97,2.47,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-02 00:00:00,54.428243,-117.412948,3.5123599999999997,1.075979778917995,3.8201388888888888,0.4576400000000001,0.9738059945597056,0.0004628558390538383,0.0005007598151453072,0.3307227383351536,0.32276869988300305,0.31392770940307996,0.310629430094379,0.0010028887370907,0.0012124782931698722,0.08481549153057497,0.2537909440555372,0.08077763672601813,2.643658858632785e-06,0.00820753322858801,0.010271054951368779,0.009866008315909494,0.009320092837987464,1
17112,17112,5827,2017-06-24 20:35:00,54.425,-117.434,3.22,2.66,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-03 00:00:00,54.428243,-117.412948,3.5123599999999997,1.4391791413326982,8.14236111111111,0.29235999999999995,1.4091707601448171,0.0012776725181071035,0.0010319646090011392,0.26770980161579594,0.2535139874804444,0.24036171434757012,0.23583178593780688,0.01156590640741789,0.012994755887251564,0.15142761969851773,0.31499301303520033,0.2979693465856048,1.887089685768512e-05,0.03788200931495053,0.024565972791041384,0.022231656903614515,0.019974881427988075,1
17113,17113,5830,2017-06-25 22:56:00,54.423,-117.424,3.4,3.28,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-03 00:00:00,54.428243,-117.412948,3.5123599999999997,0.9296131347087948,7.044444444444443,0.11236000000000024,0.9227978167632996,0.025029588033390247,0.02770810579682099,0.22965054588271364,0.2253030876371545,0.2200032526619866,0.21797244255895692,0.19173739638455173,0.21706909913923983,0.06991482389637849,0.42748692654400006,0.0559704938715794,0.0042913636589085894,0.7107228624485895,0.49479569377879085,0.47820500331082905,0.45382142287120397,1
17114,17114,5832,2017-06-28 04:19:00,54.423,-117.425,3.97,2.47,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-03 00:00:00,54.428243,-117.412948,3.5123599999999997,1.075979778917995,4.820138888888889,0.4576400000000001,0.9738059945597056,0.00042484474689063003,0.0004596359362200046,0.30356280769017413,0.2962619784300961,0.288147036269307,0.28511962142466757,0.0012395200935201522,0.001469130479038376,0.07785019220103262,0.2329488801757717,0.1080810719879683,2.4265537644656913e-06,0.00900589631099641,0.009427565502973943,0.009055782496687648,0.008554699214438116,1
17124,17124,5830,2017-06-25 22:56:00,54.423,-117.424,3.4,3.28,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-04 00:00:00,54.428243,-117.412948,3.5123599999999997,0.9296131347087948,8.044444444444443,0.11236000000000024,0.9227978167632996,0.021550764575113898,0.023856999326279233,0.19773177418111884,0.19398856238613457,0.18942534321990492,0.18767679225019782,0.22229624074084348,0.24672256744297288,0.060197471412289795,0.3680711844157709,0.0702493183902832,0.0036949137075673907,0.7315416440729328,0.4260248109230482,0.41174003468395637,0.39074549011327864,1
17125,17125,5832,2017-06-28 04:19:00,54.423,-117.425,3.97,2.47,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-04 00:00:00,54.428243,-117.412948,3.5123599999999997,1.075979778917995,5.820138888888889,0.4576400000000001,0.9738059945597056,0.0003822965138537387,0.00041360336298107257,0.27316096989539096,0.26659131922936136,0.2592890891302493,0.25656487010773493,0.0015018963712827666,0.0017451483246859521,0.07005348965503394,0.20961903247977728,0.1417730632766183,2.183534224262665e-06,0.009687836806296002,0.008483394115833407,0.008148845205311272,0.007697945451091871,1
17135,17135,5830,2017-06-25 22:56:00,54.423,-117.424,3.4,3.28,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-05 00:00:00,54.428243,-117.412948,3.5123599999999997,0.9296131347087948,9.044444444444443,0.11236000000000024,0.9227978167632996,0.01819102802439947,0.020137723736427155,0.16690564424784213,0.16374599436969106,0.15989417521751967,0.15841822110084933,0.2526637806393679,0.2749193616576936,0.05081276284385199,0.31068935894799005,0.0864391862454566,0.003118881400602971,0.7381819153508902,0.35960808942898925,0.34755029148024885,0.3298287694751446,1
17140,17140,5840,2017-07-04 03:16:00,54.414,-117.43,4.54,2.57,CHEVRON HZ WAHIGAN 15-4-63-23,100150406323W500,2017-07-05 00:00:00,54.428243,-117.412948,3.5123599999999997,2.1871623139288263,0.8638888888888889,1.02764,1.9307084238357948,0.003474491107913611,0.002035266820554292,0.38104469455974044,0.346531232852506,0.3178689195078208,0.3084976163383757,0.0016235785346148698,0.0021406361617984,0.28273367207030853,0.30716288595340324,0.027380209428615153,3.1938338618005e-05,0.00556135041415884,0.015064163456825269,0.012720981793004625,0.010799078345125892,1
