time,number of fractures
2018-10-20,5
2018-10-21,6
2018-10-22,6
2018-10-23,5
2018-10-24,5
2018-10-25,5
2018-10-26,4
2018-10-27,5
2018-10-28,5
2018-10-29,5
2018-10-30,4
2018-10-31,1
2018-11-07,2
2018-11-08,8
2018-11-09,7
2018-11-10,1
2018-11-11,12
2018-11-12,8
2018-11-13,8
2018-11-19,2
2018-11-20,39
2018-11-21,9
2018-11-25,21
2018-11-26,33
2018-11-27,23
2018-11-28,23
2018-11-29,12
2018-11-30,22
2018-12-01,20
2018-12-02,5
2018-12-10,30
2018-12-11,66
2018-12-12,70
2018-12-13,5
2018-12-16,3
2018-12-17,5
2018-12-18,4
2018-12-19,5
2018-12-20,5
2018-12-21,4
2018-12-22,4
2018-12-23,5
2018-12-24,4
2018-12-25,4
2018-12-26,6
2018-12-27,3
2018-12-28,5
2018-12-29,10
2018-12-30,20
2018-12-31,18
2019-01-01,27
2019-01-02,26
2019-01-03,28
2019-01-04,32
2019-01-05,5
2019-01-06,6
2019-01-07,36
2019-01-08,27
2019-01-09,12
2019-01-10,9
2019-01-11,15
2019-01-12,14
2019-01-13,16
2019-01-14,15
2019-01-15,13
2019-01-16,12
2019-01-17,13
2019-01-18,10
2019-01-19,16
2019-01-20,2
2019-01-21,2
2019-01-22,6
2019-01-23,1
2019-01-24,4
2019-01-25,5
2019-01-26,7
2019-01-27,11
2019-01-28,9
2019-01-29,21
2019-01-30,13
2019-01-31,13
2019-02-01,13
2019-02-02,16
2019-02-03,11
2019-02-04,13
2019-02-05,12
2019-02-06,13
2019-02-07,13
2019-02-08,8
2019-02-09,26
2019-02-10,31
2019-02-11,4
2019-02-12,5
2019-02-13,4
2019-02-14,6
2019-02-15,8
2019-02-16,10
2019-02-17,11
2019-02-18,10
2019-02-19,5
2019-02-20,6
2019-02-21,15
2019-02-22,12
2019-02-23,18
2019-02-24,26
2019-02-25,30
2019-02-26,33
2019-02-27,34
2019-02-28,36
2019-03-01,12
2019-03-02,10
2019-03-03,21
2019-03-04,23
2019-03-05,18
2019-03-06,26
2019-03-07,23
2019-03-08,32
2019-03-09,22
2019-03-10,21
2019-03-11,25
2019-03-12,18
2019-03-13,15
2019-03-14,25
2019-03-15,24
2019-03-16,20
2019-03-17,29
2019-03-18,25
2019-03-19,24
